blendshape_node,target_name,target_index,shape_classification,driving_method,immediate_driver_node,immediate_driver_attr,immediate_driver_type,ultimate_controller_attrs,details,current_weight
asFaceBS,eye_left_L,19,primary,setDrivenKey,asFaceBS_eye_left_L,asFaceBS_eye_left_L.output,animCurveUU,ctrlEye_L.translateX,"SDK input: ctrlEye_L.translateX | keys: (0.0 -> 0.0), (1.0 -> 1.0)",0.0
asFaceBS,brow_innerlower_R,1,primary,setDrivenKey,asFaceBS_brow_innerlower_R,asFaceBS_brow_innerlower_R.output,animCurveUU,ctrlBrow_R.translateX,"SDK input: ctrlBrow_R.translateX | keys: (-1.0 -> 1.0), (0.0 -> 0.0)",0.0
asFaceBS,eye_right_L,20,primary,setDrivenKey,asFaceBS_eye_right_L,asFaceBS_eye_right_L.output,animCurveUU,ctrlEye_L.translateX,"SDK input: ctrlEye_L.translateX | keys: (-1.0 -> 1.0), (0.0 -> 0.0)",0.0
asFaceBS,eye_up_L,21,primary,setDrivenKey,asFaceBS_eye_up_L,asFaceBS_eye_up_L.output,animCurveUU,ctrlEye_L.translateY,"SDK input: ctrlEye_L.translateY | keys: (0.0 -> 0.0), (1.0 -> 1.0)",0.0
asFaceBS,eye_down_L,22,primary,setDrivenKey,asFaceBS_eye_down_L,asFaceBS_eye_down_L.output,animCurveUU,ctrlEye_L.translateY,"SDK input: ctrlEye_L.translateY | keys: (-1.0 -> 1.0), (0.0 -> 0.0)",0.0
asFaceBS,ctrlEyewide_L,23,primary,setDrivenKey,asFaceBS_ctrlEyewide_L,asFaceBS_ctrlEyewide_L.output,animCurveUU,ctrlEye_L.wide,"SDK input: ctrlEye_L.wide | keys: (0.0 -> 0.0), (10.0 -> 1.0)",0.0
asFaceBS,blink_L,24,primary,setDrivenKey,asFaceBS_blink_L,asFaceBS_blink_L.output,animCurveUU,ctrlEye_L.blink,"SDK input: ctrlEye_L.blink | keys: (0.0 -> 0.0), (10.0 -> 1.0)",0.0
asFaceBS,squint_L,25,primary,setDrivenKey,asFaceBS_squint_L,asFaceBS_squint_L.output,animCurveUU,ctrlEye_L.squint,"SDK input: ctrlEye_L.squint | keys: (0.0 -> 0.0), (10.0 -> 1.0)",0.0
asFaceBS,cheek_out_R,26,primary,setDrivenKey,asFaceBS_cheek_out_R,asFaceBS_cheek_out_R.output,animCurveUU,ctrlCheek_R.translateX,"SDK input: ctrlCheek_R.translateX | keys: (0.0 -> 0.0), (1.0 -> 1.0)",0.0
asFaceBS,cheek_in_R,27,primary,setDrivenKey,asFaceBS_cheek_in_R,asFaceBS_cheek_in_R.output,animCurveUU,ctrlCheek_R.translateX,"SDK input: ctrlCheek_R.translateX | keys: (-1.0 -> 1.0), (0.0 -> 0.0)",0.0
asFaceBS,cheek_raiser_R,28,primary,setDrivenKey,asFaceBS_cheek_raiser_R,asFaceBS_cheek_raiser_R.output,animCurveUU,ctrlCheek_R.translateY,"SDK input: ctrlCheek_R.translateY | keys: (0.0 -> 0.0), (1.0 -> 1.0)",0.0
asFaceBS,cheek_out_L,29,primary,setDrivenKey,asFaceBS_cheek_out_L,asFaceBS_cheek_out_L.output,animCurveUU,ctrlCheek_L.translateX,"SDK input: ctrlCheek_L.translateX | keys: (0.0 -> 0.0), (1.0 -> 1.0)",0.0
asFaceBS,brow_raiser_R,2,primary,setDrivenKey,asFaceBS_brow_raiser_R,asFaceBS_brow_raiser_R.output,animCurveUU,ctrlBrow_R.translateY,"SDK input: ctrlBrow_R.translateY | keys: (0.0 -> 0.0), (1.0 -> 1.0)",0.0
asFaceBS,cheek_in_L,30,primary,setDrivenKey,asFaceBS_cheek_in_L,asFaceBS_cheek_in_L.output,animCurveUU,ctrlCheek_L.translateX,"SDK input: ctrlCheek_L.translateX | keys: (-1.0 -> 1.0), (0.0 -> 0.0)",0.0
asFaceBS,cheek_raiser_L,31,primary,setDrivenKey,asFaceBS_cheek_raiser_L,asFaceBS_cheek_raiser_L.output,animCurveUU,ctrlCheek_L.translateY,"SDK input: ctrlCheek_L.translateY | keys: (0.0 -> 0.0), (1.0 -> 1.0)",0.0
asFaceBS,nose_wide_R,32,primary,setDrivenKey,asFaceBS_nose_wide_R,asFaceBS_nose_wide_R.output,animCurveUU,ctrlNose_R.translateX,"SDK input: ctrlNose_R.translateX | keys: (0.0 -> 0.0), (1.0 -> 1.0)",0.0
asFaceBS,nose_narrow_R,33,primary,setDrivenKey,asFaceBS_nose_narrow_R,asFaceBS_nose_narrow_R.output,animCurveUU,ctrlNose_R.translateX,"SDK input: ctrlNose_R.translateX | keys: (-1.0 -> 1.0), (0.0 -> 0.0)",0.0
asFaceBS,nose_raiser_R,34,primary,setDrivenKey,asFaceBS_nose_raiser_R,asFaceBS_nose_raiser_R.output,animCurveUU,ctrlNose_R.translateY,"SDK input: ctrlNose_R.translateY | keys: (0.0 -> 0.0), (1.0 -> 1.0)",0.0
asFaceBS,nose_wide_L,35,primary,setDrivenKey,asFaceBS_nose_wide_L,asFaceBS_nose_wide_L.output,animCurveUU,ctrlNose_L.translateX,"SDK input: ctrlNose_L.translateX | keys: (0.0 -> 0.0), (1.0 -> 1.0)",0.0
asFaceBS,nose_narrow_L,36,primary,setDrivenKey,asFaceBS_nose_narrow_L,asFaceBS_nose_narrow_L.output,animCurveUU,ctrlNose_L.translateX,"SDK input: ctrlNose_L.translateX | keys: (-1.0 -> 1.0), (0.0 -> 0.0)",0.0
asFaceBS,nose_raiser_L,37,primary,setDrivenKey,asFaceBS_nose_raiser_L,asFaceBS_nose_raiser_L.output,animCurveUU,ctrlNose_L.translateY,"SDK input: ctrlNose_L.translateY | keys: (0.0 -> 0.0), (1.0 -> 1.0)",0.0
asFaceBS,lip_left_M,38,primary,setDrivenKey,asFaceBS_lip_left_M,asFaceBS_lip_left_M.output,animCurveUU,ctrlLips_M.translateX,"SDK input: ctrlLips_M.translateX | keys: (0.0 -> 0.0), (1.0 -> 1.0)",0.0
asFaceBS,lip_right_M,39,primary,setDrivenKey,asFaceBS_lip_right_M,asFaceBS_lip_right_M.output,animCurveUU,ctrlLips_M.translateX,"SDK input: ctrlLips_M.translateX | keys: (-1.0 -> 1.0), (0.0 -> 0.0)",0.0
asFaceBS,brow_lower_R,3,primary,setDrivenKey,asFaceBS_brow_lower_R,asFaceBS_brow_lower_R.output,animCurveUU,ctrlBrow_R.translateY,"SDK input: ctrlBrow_R.translateY | keys: (-1.0 -> 1.0), (0.0 -> 0.0)",0.0
asFaceBS,lip_up_M,40,primary,setDrivenKey,asFaceBS_lip_up_M,asFaceBS_lip_up_M.output,animCurveUU,ctrlLips_M.translateY,"SDK input: ctrlLips_M.translateY | keys: (0.0 -> 0.0), (1.0 -> 1.0)",0.0
asFaceBS,lip_down_M,41,primary,setDrivenKey,asFaceBS_lip_down_M,asFaceBS_lip_down_M.output,animCurveUU,ctrlLips_M.translateY,"SDK input: ctrlLips_M.translateY | keys: (-1.0 -> 1.0), (0.0 -> 0.0)",0.0
asFaceBS,lip_upperPressPos_M,42,primary,setDrivenKey,asFaceBS_lip_upperPressPos_M,asFaceBS_lip_upperPressPos_M.output,animCurveUU,ctrlLips_M.upperPress,"SDK input: ctrlLips_M.upperPress | keys: (0.0 -> 0.0), (10.0 -> 1.0)",0.0
asFaceBS,lip_upperPressNeg_M,43,primary,setDrivenKey,asFaceBS_lip_upperPressNeg_M,asFaceBS_lip_upperPressNeg_M.output,animCurveUU,ctrlLips_M.upperPress,"SDK input: ctrlLips_M.upperPress | keys: (-10.0 -> 1.0), (0.0 -> 0.0)",0.0
asFaceBS,lip_lowerPressPos_M,44,primary,setDrivenKey,asFaceBS_lip_lowerPressPos_M,asFaceBS_lip_lowerPressPos_M.output,animCurveUU,ctrlLips_M.lowerPress,"SDK input: ctrlLips_M.lowerPress | keys: (0.0 -> 0.0), (10.0 -> 1.0)",0.0
asFaceBS,lip_lowerPressNeg_M,45,primary,setDrivenKey,asFaceBS_lip_lowerPressNeg_M,asFaceBS_lip_lowerPressNeg_M.output,animCurveUU,ctrlLips_M.lowerPress,"SDK input: ctrlLips_M.lowerPress | keys: (-10.0 -> 1.0), (0.0 -> 0.0)",0.0
asFaceBS,lip_upperSqueezePos_M,46,primary,setDrivenKey,asFaceBS_lip_upperSqueezePos_M,asFaceBS_lip_upperSqueezePos_M.output,animCurveUU,ctrlLips_M.upperSqueeze,"SDK input: ctrlLips_M.upperSqueeze | keys: (0.0 -> 0.0), (10.0 -> 1.0)",0.0
asFaceBS,lip_upperSqueezeNeg_M,47,primary,setDrivenKey,asFaceBS_lip_upperSqueezeNeg_M,asFaceBS_lip_upperSqueezeNeg_M.output,animCurveUU,ctrlLips_M.upperSqueeze,"SDK input: ctrlLips_M.upperSqueeze | keys: (-10.0 -> 1.0), (0.0 -> 0.0)",0.0
asFaceBS,lip_lowerSqueezePos_M,48,primary,setDrivenKey,asFaceBS_lip_lowerSqueezePos_M,asFaceBS_lip_lowerSqueezePos_M.output,animCurveUU,ctrlLips_M.lowerSqueeze,"SDK input: ctrlLips_M.lowerSqueeze | keys: (0.0 -> 0.0), (10.0 -> 1.0)",0.0
asFaceBS,lip_lowerSqueezeNeg_M,49,primary,setDrivenKey,asFaceBS_lip_lowerSqueezeNeg_M,asFaceBS_lip_lowerSqueezeNeg_M.output,animCurveUU,ctrlLips_M.lowerSqueeze,"SDK input: ctrlLips_M.lowerSqueeze | keys: (-10.0 -> 1.0), (0.0 -> 0.0)",0.0
asFaceBS,brow_squeeze_R,4,primary,setDrivenKey,asFaceBS_brow_squeeze_R,asFaceBS_brow_squeeze_R.output,animCurveUU,ctrlBrow_R.squeeze,"SDK input: ctrlBrow_R.squeeze | keys: (0.0 -> 0.0), (10.0 -> 1.0)",0.0
asFaceBS,lip_upperRollPos_M,50,primary,setDrivenKey,asFaceBS_lip_upperRollPos_M,asFaceBS_lip_upperRollPos_M.output,animCurveUU,ctrlLips_M.upperRoll,"SDK input: ctrlLips_M.upperRoll | keys: (0.0 -> 0.0), (10.0 -> 1.0)",0.0
asFaceBS,lip_upperRollNeg_M,51,primary,setDrivenKey,asFaceBS_lip_upperRollNeg_M,asFaceBS_lip_upperRollNeg_M.output,animCurveUU,ctrlLips_M.upperRoll,"SDK input: ctrlLips_M.upperRoll | keys: (-10.0 -> 1.0), (0.0 -> 0.0)",0.0
asFaceBS,lip_lowerRollPos_M,52,primary,setDrivenKey,asFaceBS_lip_lowerRollPos_M,asFaceBS_lip_lowerRollPos_M.output,animCurveUU,ctrlLips_M.lowerRoll,"SDK input: ctrlLips_M.lowerRoll | keys: (0.0 -> 0.0), (10.0 -> 1.0)",0.0
asFaceBS,lip_lowerRollNeg_M,53,primary,setDrivenKey,asFaceBS_lip_lowerRollNeg_M,asFaceBS_lip_lowerRollNeg_M.output,animCurveUU,ctrlLips_M.lowerRoll,"SDK input: ctrlLips_M.lowerRoll | keys: (-10.0 -> 1.0), (0.0 -> 0.0)",0.0
asFaceBS,lip_upperPuckerPos_M,54,primary,setDrivenKey,asFaceBS_lip_upperPuckerPos_M,asFaceBS_lip_upperPuckerPos_M.output,animCurveUU,ctrlLips_M.upperPucker,"SDK input: ctrlLips_M.upperPucker | keys: (0.0 -> 0.0), (10.0 -> 1.0)",0.0
asFaceBS,lip_upperPuckerNeg_M,55,primary,setDrivenKey,asFaceBS_lip_upperPuckerNeg_M,asFaceBS_lip_upperPuckerNeg_M.output,animCurveUU,ctrlLips_M.upperPucker,"SDK input: ctrlLips_M.upperPucker | keys: (-10.0 -> 1.0), (0.0 -> 0.0)",0.0
asFaceBS,lip_lowerPuckerPos_M,56,primary,setDrivenKey,asFaceBS_lip_lowerPuckerPos_M,asFaceBS_lip_lowerPuckerPos_M.output,animCurveUU,ctrlLips_M.lowerPucker,"SDK input: ctrlLips_M.lowerPucker | keys: (0.0 -> 0.0), (10.0 -> 1.0)",0.0
asFaceBS,lip_lowerPuckerNeg_M,57,primary,setDrivenKey,asFaceBS_lip_lowerPuckerNeg_M,asFaceBS_lip_lowerPuckerNeg_M.output,animCurveUU,ctrlLips_M.lowerPucker,"SDK input: ctrlLips_M.lowerPucker | keys: (-10.0 -> 1.0), (0.0 -> 0.0)",0.0
asFaceBS,mouth_wide_M,58,primary,setDrivenKey,asFaceBS_mouth_wide_M,asFaceBS_mouth_wide_M.output,animCurveUU,ctrlMouth_M.translateX,"SDK input: ctrlMouth_M.translateX | keys: (0.0 -> 0.0), (1.0 -> 1.0)",0.0
asFaceBS,mouth_narrow_M,59,primary,setDrivenKey,asFaceBS_mouth_narrow_M,asFaceBS_mouth_narrow_M.output,animCurveUU,ctrlMouth_M.translateX,"SDK input: ctrlMouth_M.translateX | keys: (-1.0 -> 1.0), (0.0 -> 0.0)",0.0
asFaceBS,brow_outerUpDown_R,5,primary,setDrivenKey,asFaceBS_brow_outerUpDown_R,asFaceBS_brow_outerUpDown_R.output,animCurveUU,ctrlBrow_R.outerUpDown,"SDK input: ctrlBrow_R.outerUpDown | keys: (0.0 -> 0.0), (10.0 -> 1.0)",0.0
